,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
540,606,Budesonidum,Benodil, zawiesina do nebulizacji, 0.5 mg/ml,20 amp.po 2 ml,5909991283698,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6894,8031,8009,<2>We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,2425
541,607,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.)",5909991033248,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",5613,6602,6010,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1125
542,608,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.)",5909991033248,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",5613,6602,6010,x,30%,2395
543,609,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.) + inhal. Novolizer",5909991033224,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6294,7283,6010,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1806
544,610,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.) + inhal. Novolizer",5909991033224,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6294,7283,6010,x,30%,3076
545,611,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 100 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337354,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",4423,5077,3005,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,2392
546,612,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 100 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337354,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",4423,5077,3005,x,30%,2974
547,613,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 200 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337323,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6691,7680,6010,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,2203
548,614,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 200 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337323,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6691,7680,6010,x,30%,3473
549,615,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 400 µg/dawkę,1 inh.po 100 daw. + opak. ochronne (zestaw startowy),5909990337286,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",5443,6432,6010,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,955
550,616,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 400 µg/dawkę,1 inh.po 100 daw. + opak. ochronne (zestaw startowy),5909990337286,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",5443,6432,6010,x,30%,2225
551,617,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,120 kaps.,5909991223793,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3266,4001,3606,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,715
552,618,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,120 kaps.,5909991223793,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3266,4001,3606,x,30%,1477
553,619,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,60 kaps.,5909991204082,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",1633,2106,1803,"Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,623
554,620,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,60 kaps.,5909991204082,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",1633,2106,1803,x,30%,844
555,621,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,120 kaps.,5909991223809,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6532,7628,7212,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1056
556,622,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,120 kaps.,5909991223809,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",6532,7628,7212,x,30%,2580
557,623,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,60 kaps.,5909991203986,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3266,4001,3606,"Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,715
558,624,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,60 kaps.,5909991203986,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3266,4001,3606,x,30%,1477
559,629,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.125 mg/ml,20 poj. 2 ml,5906414002515,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",5443,6442,6442,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,320
560,630,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.125 mg/ml,20 poj. 2 ml,5906414002515,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",5443,6442,6442,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
561,631,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.25 mg/ml,20 poj. 2 ml,5906414002522,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",4763,5671,5671,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,320
562,632,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.25 mg/ml,20 poj. 2 ml,5906414002522,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",4763,5671,5671,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
563,633,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.5 mg/ml,20 poj. 2 ml,5906414002539,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6917,8054,8009,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,365
564,634,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.5 mg/ml,20 poj. 2 ml,5906414002539,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6917,8054,8009,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,2448
565,635,Budesonidum,CortimentMMX, tabl. o przedł. uwalnianiu, 9 mg,30 szt.,5909991205966,"11.1, Kortykosteroidy do stosowania doustnego o działaniu miejscowym na przewód pokarmowy - budesonid - we wrzodziejącym zapaleniu jelita grubego",38268,40475,40475,"Indukcja remisji u dorosłych pacjentów z łagodną do umiarkowanej, aktywną postacią wrzodziejącego zapalenia jelita grubego, gdzie leczenie preparatami 5-ASA jest niewystarczające",ryczałt,320
566,637,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 200 µg,60 szt. (6 blist.po 10 szt.),5909990926213,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",1979,2452,1803,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,969
567,638,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 200 µg,60 szt. (6 blist.po 10 szt.),5909990926213,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",1979,2452,1803,x,30%,1190
568,639,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 400 µg,60 szt. (6 blist.po 10 szt.),5909990926312,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3390,4125,3606,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,839
569,640,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 400 µg,60 szt. (6 blist.po 10 szt.),5909990926312,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3390,4125,3606,x,30%,1601
570,641,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/2 ml,20 szt.,5909991107925,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",5488,6486,6486,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,320
571,642,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/2 ml,20 szt.,5909991107925,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",5488,6486,6486,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
572,643,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/ml,20 amp. po 2 ml,5909991005696,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",4763,5671,5671,"Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,320
573,644,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/ml,20 amp. po 2 ml,5909991005696,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",4763,5671,5671,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
574,645,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.5 mg/ml,20 amp. po 2 ml,5909991005733,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6872,8009,8009,"Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,320
575,646,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.5 mg/ml,20 amp. po 2 ml,5909991005733,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6872,8009,8009,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,2403
576,647,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.125 mg/ml,20 poj.po 2 ml,5909990445615,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",6686,7685,6486,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1519
577,648,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.125 mg/ml,20 poj.po 2 ml,5909990445615,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach",6686,7685,6486,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1519
578,649,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.25 mg/ml,20 poj.po 2 ml,5909990445714,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",5938,6846,5766,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1400
579,650,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.25 mg/ml,20 poj.po 2 ml,5909990445714,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach",5938,6846,5766,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1400
580,651,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991233099,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6804,7941,7941,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,320
581,652,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991233099,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6804,7941,7941,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,2382
582,653,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991269784,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6804,7941,7941,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,320
583,654,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991269784,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",6804,7941,7941,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,2382
584,655,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909990445813,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",8069,9206,8009,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1517
585,656,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909990445813,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach",8069,9206,8009,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,3600
586,657,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 100 µg/dawkę inhalacyjną,1 poj.po 200 daw.,5909990677313,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3740,4394,3005,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1709
587,658,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 100 µg/dawkę inhalacyjną,1 poj.po 200 daw.,5909990677313,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3740,4394,3005,x,30%,2291
588,659,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 200 µg/dawkę inhalacyjną,1 poj.po 100 daw.,5909990677412,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3345,3999,3005,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1314
589,660,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 200 µg/dawkę inhalacyjną,1 poj.po 100 daw.,5909990677412,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole",3345,3999,3005,x,30%,1896
590,671,Budesonidum + Formoterolum,Bufomix Easyhaler, proszek do inhalacji, 320+9 µg/dawkę inhalacyjną,1 inh.po 60 daw. z opakowaniem ochronnym,5909991137625,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach",9879,11180,10316,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1184
591,673,Budesonidum + Formoterolum,DuoResp Spiromax, proszek do inhalacji, 320+9 µg,1 inhalator (60 dawek),5909991136963,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach",9879,11180,10316,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,1184
592,674,Budesonidum + Formoterolum,Symbicort Turbuhaler, proszek do inhalacji, 320+9 µg/dawkę inhalacyjną,1 inh.po 60 daw.,5909990873241,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach",11420,12721,10316,Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,2725
593,676,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.2 mg,60 szt. - blister,5909991235635,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego",2869,3548,3548,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1064
594,677,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.2 mg,60 szt. - blister,5909991235635,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego",2869,3548,3548,Nowotwory złośliwe,bezpłatny do limitu,0
595,678,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.4 mg,30 szt. - blister,5909991235642,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego",2869,3548,3548,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1064
596,679,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.4 mg,30 szt. - blister,5909991235642,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego",2869,3548,3548,Nowotwory złośliwe,bezpłatny do limitu,0
597,680,Buprenorphinum,Melodyn 35 μg/h, system transdermalny, 20 mg,5 szt.,5909990938056,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",4649,5532,4939,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,913
598,681,Buprenorphinum,Melodyn 35 μg/h, system transdermalny, 20 mg,5 szt.,5909990938056,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",4649,5532,4939,Nowotwory złośliwe,bezpłatny do limitu,593
599,684,Buprenorphinum,Melodyn 70 μg/h, system transdermalny, 40 mg,5 szt.,5909990938131,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",9299,10582,9877,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1025
600,685,Buprenorphinum,Melodyn 70 μg/h, system transdermalny, 40 mg,5 szt.,5909990938131,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",9299,10582,9877,Nowotwory złośliwe,bezpłatny do limitu,705
601,686,Buprenorphinum,Transtec 35 μg/h, system transdermalny, 20 mg,5 szt. (5 sasz.po 1 szt.),5909990966127,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",5048,5931,4939,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1312
602,687,Buprenorphinum,Transtec 35 μg/h, system transdermalny, 20 mg,5 szt. (5 sasz.po 1 szt.),5909990966127,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",5048,5931,4939,Nowotwory złośliwe,bezpłatny do limitu,992
603,690,Buprenorphinum,Transtec 70 μg/h, system transdermalny, 40 mg,5 szt. (5 sasz.po 1 szt.),5909990966325,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",10374,11657,9877,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,2100
604,691,Buprenorphinum,Transtec 70 μg/h, system transdermalny, 40 mg,5 szt. (5 sasz.po 1 szt.),5909990966325,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",10374,11657,9877,Nowotwory złośliwe,bezpłatny do limitu,1780
605,692,Buspironi hydrochloridum,Spamilan, tabl., 10 mg,60 szt.,5902023776304,"182.0, Leki przeciwlękowe - buspiron",2153,2727,2727,Choroby psychiczne lub upośledzenia umysłowe,30%,818
606,693,Buspironi hydrochloridum,Spamilan, tabl., 10 mg,60 szt.,5909997201450,"182.0, Leki przeciwlękowe - buspiron",2155,2728,2728,Choroby psychiczne lub upośledzenia umysłowe,30%,818
607,694,Buspironum,Spamilan, tabl., 10 mg,60 szt.,5909997213538,"182.0, Leki przeciwlękowe - buspiron",2098,2671,2671,Choroby psychiczne lub upośledzenia umysłowe,30%,801
608,695,Buspironum,Spamilan, tabl., 10 mg,60 szt. (6 blist.po 10 szt.),5909990073603,"182.0, Leki przeciwlękowe - buspiron",3085,3657,2728,Choroby psychiczne lub upośledzenia umysłowe,30%,1747
609,696,Buspironum,Spamilan, tabl., 5 mg,60 szt. (6 blist.po 10 szt.),5909990073597,"182.0, Leki przeciwlękowe - buspiron",1803,2168,1364,Choroby psychiczne lub upośledzenia umysłowe,30%,1213
610,697,Busulfanum,Myleran, tabl. powl., 2 mg,25 szt.,5909990277919,"236.0, Leki przeciwnowotworowe - leki alkilujące - busulfan",34790,36910,36910,Nowotwory złośliwe,bezpłatny do limitu,0
611,698,Calcii folinas,Calciumfolinat-Ebewe, kaps. twarde, 15 mg,20 szt.,5909990356713,"215.1, Kwas folinowy i jego sole - postacie do stosowania doustnego",2268,2858,2858,Nowotwory złośliwe,bezpłatny do limitu,0
612,703,Canagliflozinum,Invokana, tabl. powl., 100 mg,30 szt.,5909991096106,"251.0, Doustne leki przeciwcukrzycowe - flozyny",16840,18494,17814,"Cukrzyca typu 2, u pacjentów przed włączeniem insuliny, leczonych co najmniej dwoma doustnymi lekami hipoglikemizującymi od co najmniej 6 miesięcy, z HbA1c ≥ 8 % oraz bardzo wysokim ryzykiem sercowo-naczyniowym rozumianym jako: 1)potwierdzona choroba sercowo-naczyniowa, lub 2)uszkodzenie innych narządów objawiające się poprzez: białkomocz lub przerost lewej komory lub retinopatię, lub 3) obecność 3 lub więcej głównych czynników ryzyka spośród wymienionych poniżej: -wiek ≥ 55 lat dla mężczyzn, ≥60 lat dla kobiet, -dyslipidemia, -nadciśnienie tętnicze, -palenie tytoniu, -otyłość",30%,6024
613,704,Candesartanum cilexetili,Karbis, tabletki, 16 mg,28 szt.,5909991389468,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1611,2117,2117,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,635
614,705,Candesartanum cilexetili,Karbis, tabl., 16 mg,28 szt.,5909991392475,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1741,2247,2247,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,674
615,706,Candesartanum cilexetili,Karbis, tabletki, 16 mg,56 szt.,5909991389475,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",3220,4003,4003,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1201
616,707,Candesartanum cilexetili,Karbis, tabl., 16 mg,56 szt.,5909991392482,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",3482,4266,4266,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1280
617,708,Candesartanum cilexetili,Karbis, tabletki, 32 mg,28 szt.,5909991389512,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",3220,4003,4003,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1201
618,709,Candesartanum cilexetili,Karbis, tabl., 32 mg,28 szt.,5909991395100,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",3482,4266,4266,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1280
619,710,Candesartanum cilexetili,Karbis, tabletki, 8 mg,28 szt.,5909991389420,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",805,1122,1122,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,337
620,711,Candesartanum cilexetili,Karbis, tabl., 8 mg,28 szt.,5909991390242,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",870,1187,1187,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,356
621,712,Candesartanum cilexetili,Karbis, tabletki, 8 mg,56 szt.,5909991389437,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1611,2117,2117,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,635
622,713,Candesartanum cilexetili,Karbis, tabl., 8 mg,56 szt.,5909991390259,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1741,2247,2247,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,674
623,714,Candesartanum cilexetili,Ranacand, tabl., 16 mg,28 szt.,5909990801350,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",2370,2876,2414,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,1186
624,715,Candesartanum cilexetili,Ranacand, tabl., 8 mg,28 szt.,5909990801367,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1185,1502,1207,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,657
625,716,Candesartanum cilexetili + Amlodipinum,Camlocor, tabl., 16 + 10 mg,28 szt.,3838989720544,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1928,2434,2414,"Leczenie zastępcze pierwotnego nadciśnienia tętniczego u dorosłych pacjentów, u których uzyskano kontrolę ciśnienia tętniczego stosując jednocześnie kandesartan i amlodypinę, w takich samych dawkach",30%,744
626,717,Candesartanum cilexetili + Amlodipinum,Camlocor, tabl., 16 + 5 mg,28 szt.,5909991367732,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",1928,2434,2414,"Leczenie zastępcze pierwotnego nadciśnienia tętniczego u dorosłych pacjentów, u których uzyskano kontrolę ciśnienia tętniczego stosując jednocześnie kandesartan i amlodypinę, w takich samych dawkach",30%,744
627,718,Candesartanum cilexetili + Amlodipinum,Camlocor, tabl., 8 + 5 mg,28 szt.,5909991367510,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",964,1281,1207,"Leczenie zastępcze pierwotnego nadciśnienia tętniczego u dorosłych pacjentów, u których uzyskano kontrolę ciśnienia tętniczego stosując jednocześnie kandesartan i amlodypinę, w takich samych dawkach",30%,436
628,719,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kapsułki twarde, 16 + 10 mg,30 kaps.,5906414002140,"45.0, Antagoniści angiotensyny II - produkty jednoskładnikowe i złożone",2762,3293,2586,"Leczenie zastępcze pierwotnego nadciśnienia tętniczego u dorosłych pacjentów, u których uzyskano kontrolę ciśnienia tętniczego stosując jednocześnie kandesartan i amlodypinę, w takich samych dawkach",30%,1483
