,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean
1385,1386,Fentanylum,Instanyl, aerozol do nosa# roztwór, 100 µg/dawkę,"1 but.po 2,9 ml (20 daw.)",5909990699735
1386,1387,Fentanylum,Instanyl, aerozol do nosa# roztwór, 200 µg/dawkę,1 but.po 5 ml (40 daw.),5909990699889
1387,1388,Fentanylum,Instanyl, aerozol do nosa# roztwór, 50 µg/dawkę,"1 but.po 1,8 ml (10 daw.)",5909990699643
1388,1389,Fentanylum,Matrifen 100 mikrogramów/godzinę system transdermalny, system transdermalny, 100 µg/h,5 szt.,5909990043330
1389,1390,Fentanylum,Matrifen 12 mikrogramów/godzinę system transdermalny, system transdermalny, 12 µg/h,5 szt.,5909990043163
1390,1391,Fentanylum,Matrifen 25 mikrogramów/godzinę system transdermalny, system transdermalny, 25 µg/h,5 szt.,5909990043279
1391,1392,Fentanylum,Matrifen 50 mikrogramów/godzinę system transdermalny, system transdermalny, 50 µg/h,5 szt.,5909990043385
1392,1393,Fentanylum,Matrifen 75 mikrogramów/godzinę system transdermalny, system transdermalny, 75 µg/h,5 szt.,5909990043224
1393,1394,Fentanylum,PecFent, aerozol do nosa# roztwór, 100 µg/dawkę,"1,55 ml (1 butelka)",5909990955503
1394,1395,Fentanylum,PecFent, aerozol do nosa# roztwór, 100 µg/dawkę,"4 but. po 1,55 ml",5909990955527
1395,1396,Fentanylum,PecFent, aerozol do nosa# roztwór, 400 µg/dawkę,"1,55 ml (1 butelka)",5909990955541
1396,1397,Fentanylum,PecFent, aerozol do nosa# roztwór, 400 µg/dawkę,"4 but. po 1,55 ml",5909990955558
1397,1398,Fentanylum,Vellofent, tabl. podjęzykowe, 133 µg,30 szt.,5909991074647
1398,1399,Fentanylum,Vellofent, tabl. podjęzykowe, 267 µg,30 szt.,5909991074685
1399,1400,Fentanylum,Vellofent, tabl. podjęzykowe, 400 µg,30 szt.,5909991074739
1400,1401,Fentanylum,Vellofent, tabl. podjęzykowe, 533 µg,30 szt.,5909991074777
1401,1402,Fentanylum,Vellofent, tabl. podjęzykowe, 67 µg,30 szt.,5909991074593
1402,1403,Fentanylum,Vellofent, tabl. podjęzykowe, 800 µg,30 szt.,5909991074821
1403,1404,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 30 mln j./0#5 ml,1 amp.-strz.,5055565713846
1404,1405,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 30 mln j./0#5 ml,5 amp.-strz.,5055565713860
1405,1406,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 30 mln j./0#5 ml,7 amp.-strz.,5055565726068
1406,1407,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 48 mln j./0#5 ml,1 amp.-strz.,5055565713853
1407,1408,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 48 mln j./0#5 ml,5 amp.-strz.,5055565713877
1408,1409,Filgrastimum,Accofil, roztwór do wstrzykiwań lub infuzji, 48 mln j./0#5 ml,7 amp.-strz.,5055565726075
1409,1410,Filgrastimum,Zarzio, roztwór do wstrzykiwań lub infuzji, 30 mln j./0#5 ml,"5 amp.-strz.po 0,5 ml",5909990687787
1410,1411,Filgrastimum,Zarzio, roztwór do wstrzykiwań lub infuzji, 48 mln j./0#5 ml,"5 amp.-strz.po 0,5 ml",5909990687848
1411,1412,Finasteridum,Adaster, tabl. powl., 5 mg,30 szt.,5909990711949
1412,1413,Finasteridum,Adaster, tabl. powl., 5 mg,90 szt.,5909990711987
1413,1414,Finasteridum,Androster, tabl. powl., 5 mg,30 szt.,5909990055470
1414,1415,Finasteridum,Androster, tabl. powl., 5 mg,90 szt.,5909990906154
1415,1416,Finasteridum,Antiprost, tabl. powl., 5 mg,30 szt.,5909990067770
1416,1417,Finasteridum,Apo-Fina, tabl. powl., 5 mg,30 szt.,5909990048670
1417,1418,Finasteridum,Apo-Fina, tabl. powl., 5 mg,90 szt.,5909990938797
1418,1419,Finasteridum,Finamef, tabl. powl., 5 mg,30 szt.,5909991222673
1419,1420,Finasteridum,Finamef, tabl. powl., 5 mg,30 szt.,5909991282288
1420,1421,Finasteridum,Finamef, tabl. powl., 5 mg,30 szt.,5909990713127
1421,1422,Finasteridum,Finamef, tabl. powl., 5 mg,90 szt.,5909990713141
1422,1423,Finasteridum,Finaran, tabl. powl., 5 mg,30 szt. (2 blist.po 15 szt.),5909990082391
1423,1424,Finasteridum,Finaster, tabl. powl., 5 mg,120 szt.,5909991207311
1424,1425,Finasteridum,Finaster, tabl. powl., 5 mg,30 szt. (2 blist.po 15 szt.),5909991151218
1425,1426,Finasteridum,Finaster, tabl. powl., 5 mg,90 szt.,5909990811045
1426,1427,Finasteridum,Finasterid Stada 5 mg tabletki powlekane, tabletki powlekane, 5 mg,120 tabl.,5909991284053
1427,1428,Finasteridum,Finasterid Stada 5 mg tabletki powlekane, tabl. powl., 5 mg,30 szt.,5909990055098
1428,1429,Finasteridum,Finasterid Stada 5 mg tabletki powlekane, tabletki powlekane, 5 mg,90 tabl.,5909991289430
1429,1430,Finasteridum,Finasteridum Bluefish, tabl. powl., 5 mg,30 szt.,5909991096571
1430,1431,Finasteridum,Finasteridum Bluefish, tabl. powl., 5 mg,90 szt.,5909991096601
1431,1432,Finasteridum,Finpros 5 mg, tabl. powl., 5 mg,30 szt.,5909990017973
1432,1433,Finasteridum,Finxta, tabl. powl., 5 mg,28 szt.,5909990050895
1433,1434,Finasteridum,Hyplafin, tabl. powl., 5 mg,30 szt.,5909990017997
1434,1435,Finasteridum,Penester, tabl. powl., 5 mg,30 szt. (2 blist.po 15 szt.),5909990077267
1435,1436,Finasteridum,Penester, tabl. powl., 5 mg,90 szt. (6 blist.po 15 szt.),5909990077274
1436,1437,Finasteridum,Proscar, tabl. powl., 5 mg,28 szt. (2 blist.po 14 szt.),5909990362110
1437,1438,Finasteridum,Symasteride, tabl. powl., 5 mg,30 szt.,5909990074105
1438,1439,Finasteridum,Symasteride, tabl. powl., 5 mg,90 tabl.,5909991107871
1439,1440,Finasteridum,Uronezyr, tabl. powl., 5 mg,30 szt.,5909991088842
1440,1441,Finasteridum,Zasterid, tabl. powl., 5 mg,28 szt.,5909991053710
1441,1442,Fluconazolum,Candifluc/Fluconazolum Aflofarm, syrop, 5 mg/ml,1 but. 150 ml,5909991257804
1442,1443,Fluconazolum,Flucofast, kaps. twarde, 100 mg,28 szt.,5909990662388
1443,1444,Fluconazolum,Flucofast, kaps. twarde, 100 mg,7 szt.,5909990662371
1444,1445,Fluconazolum,Flucofast, kaps., 150 mg,1 szt.,5909990490615
1445,1446,Fluconazolum,Flucofast, kaps. twarde, 150 mg,3 szt.,5907529466339
1446,1447,Fluconazolum,Flucofast, kaps. twarde, 200 mg,7 szt.,5909991283247
1447,1448,Fluconazolum,Flucofast, kaps., 50 mg,14 szt.,5909990490523
1448,1449,Fluconazolum,Flucofast, kaps., 50 mg,7 szt.,5909990490516
1449,1450,Fluconazolum,Fluconazin, syrop, 5 mg/ml,1 but.po 150 ml,5909991097219
1450,1451,Fluconazolum,Fluconazole Genoptim, kaps. twarde, 100 mg,28 szt.,5909991262679
1451,1452,Fluconazolum,Fluconazole Genoptim, kaps. twarde, 100 mg,7 szt.,5909991262617
1452,1453,Fluconazolum,Fluconazole Genoptim, kaps. twarde, 50 mg,14 szt.,5909991262488
1453,1454,Fluconazolum,Fluconazole Genoptim, kaps. twarde, 50 mg,7 szt.,5909991262457
1454,1455,Fluconazolum,Fluconazole Hasco, syrop, 5 mg/ml,1 but. 150 ml,5909991273798
1455,1456,Fluconazolum,Fluconazole Polfarmex, tabl., 100 mg,28 szt.,5909990780181
1456,1457,Fluconazolum,Fluconazole Polfarmex, tabl., 100 mg,7 szt.,5909990859719
1457,1458,Fluconazolum,Fluconazole Polfarmex, tabl., 150 mg,1 szt.,5909990017874
1458,1459,Fluconazolum,Fluconazole Polfarmex, tabl., 150 mg,3 szt.,5909990017881
1459,1460,Fluconazolum,Fluconazole Polfarmex, tabl., 200 mg,14 szt.,5909991022556
1460,1461,Fluconazolum,Fluconazole Polfarmex, tabl., 200 mg,7 szt.,5909991022549
1461,1462,Fluconazolum,Fluconazole Polfarmex, syrop, 5 mg/ml,150 ml (but.),5909990859511
1462,1463,Fluconazolum,Fluconazole Polfarmex, tabl., 50 mg,14 szt.,5909990859610
1463,1464,Fluconazolum,Fluconazole Polfarmex, tabl., 50 mg,7 szt.,5909990859672
1464,1465,Fluconazolum,Flumycon, kaps. twarde, 100 mg,28 szt.,5909990869756
1465,1466,Fluconazolum,Flumycon, kaps. twarde, 100 mg,7 szt.,5909990869732
1466,1467,Fluconazolum,Flumycon, kaps. twarde, 150 mg,1 szt.,5909990869763
1467,1468,Fluconazolum,Flumycon, kaps. twarde, 150 mg,7 szt.,5909991365745
1468,1469,Fluconazolum,Flumycon, kaps. twarde, 200 mg,7 szt.,5909990869770
1469,1470,Fluconazolum,Flumycon, kaps. twarde, 50 mg,14 szt.,5909990869695
1470,1471,Fluconazolum,Flumycon, kaps. twarde, 50 mg,7 szt.,5909990869688
1471,1472,Fluconazolum,Fluxazol, kaps. twarde, 100 mg,7 szt.,5909991388270
1472,1473,Fluconazolum,Fluxazol, kaps. twarde, 150 mg,1 szt.,5909991388287
1473,1474,Fluconazolum,Fluxazol, kaps. twarde, 200 mg,7 szt.,5909991388294
1474,1475,Fluconazolum,Fluxazol, kaps. twarde, 50 mg,7 szt.,5909991388263
1475,1476,Fluconazolum,Mycosyst, kaps., 100 mg,28 szt.,5909990980611
1476,1477,Fluconazolum,Mycosyst, kaps., 100 mg,7 szt.,5909990642533
1477,1478,Fluconazolum,Mycosyst, kaps., 200 mg,7 szt.,5909991118914
1478,1479,Fluconazolum,Mycosyst, kaps., 50 mg,7 szt.,5909990980512
1479,1480,Fludrocortisonum,Cortineff, tabl., 100 µg,20 szt.,5904374007885
1480,1481,Fluoxetinum,Andepin, kaps. twarde, 20 mg,30 szt.,5909991065515
1481,1482,Fluoxetinum,Bioxetin, tabl., 20 mg,30 szt.,5909990372317
1482,1483,Fluoxetinum,Fluoksetyna EGIS, kaps. twarde, 20 mg,28 szt.,5909990776955
1483,1484,Fluoxetinum,Fluoxetin Polpharma, kaps. twarde, 20 mg,30 szt.,5909990770311
1484,1485,Fluoxetinum,Fluoxetine Aurovitas, kaps. twarde, 20 mg,30 tabl.,5909991317621
1485,1486,Fluoxetinum,Fluxemed, kaps. twarde, 20 mg,30 szt.,5909990742509
1486,1487,Fluoxetinum,Seronil, tabl. powl., 10 mg,100 szt.,5909990374328
1487,1488,Fluoxetinum,Seronil, tabl. powl., 10 mg,30 szt.,5909990374311
1488,1489,Flupentixolum,Fluanxol, tabl. powl., 0.5 mg,50 szt.,5909991074258
1489,1490,Flupentixolum,Fluanxol, tabl. powl., 3 mg,50 szt.,5909991074296
1490,1491,Flupentixolum,Fluanxol Depot, roztwór do wstrzykiwań, 20 mg/ml,1 amp.po 1 ml,5909990127214
1491,1492,Flutamidum,Apo-Flutam, tabl. powl., 250 mg,30 szt.,5909990941612
1492,1493,Flutamidum,Apo-Flutam, tabl. powl., 250 mg,90 szt.,5909990941629
1493,1494,Flutamidum,Flutamid Egis, tabl., 250 mg,100 szt.,5909990139217
1494,1495,Fluticasoni furoas + Umeclidinium + Vilanterolum,Trelegy Ellipta, proszek do inhalacji# podzielony, 92+52+22 µg/dawkę inhalacyjną,1 inhalator 30 dawek,5909991350635
1495,1496,Fluticasoni propionas,Fanipos, aerozol do nosa# zawiesina, 50 µg/dawkę,2 poj. po 120 daw.,5908289660371
1496,1497,Fluticasoni propionas,Fanipos, aerozol do nosa# zawiesina, 50 µg/dawkę donosową,1 poj. po 120 daw.,5909990570720
1497,1498,Fluticasoni propionas,Flixonase, aerozol do nosa# zawiesina, 50 µg/dawkę,poj. 10 ml (120 dawek),5909990933839
1498,1499,Fluticasoni propionas,Flixotide, aerozol inhalacyjny# zawiesina, 125 µg,120 daw.,5909990851423
1499,1500,Fluticasoni propionas,Flixotide, aerozol inhalacyjny# zawiesina, 125 µg,60 daw.,5909990851416
1500,1501,Fluticasoni propionas,Flixotide, aerozol inhalacyjny# zawiesina, 250 µg,120 daw.,5909990851522
1501,1502,Fluticasoni propionas,Flixotide, aerozol inhalacyjny# zawiesina, 250 µg,60 daw.,5909990851515
1502,1503,Fluticasoni propionas,Flixotide, aerozol inhalacyjny# zawiesina, 50 µg/dawkę inhalacyjną,120 daw.,5909990851317
1503,1504,Fluticasoni propionas,Flixotide Dysk, proszek do inhalacji, 100 µg/dawkę inhalacyjną,60 daw.,5909990484621
1504,1505,Fluticasoni propionas,Flixotide Dysk, proszek do inhalacji, 250 µg/dawkę inhalacyjną,60 daw.,5909990484720
1505,1506,Fluticasoni propionas,Flixotide Dysk, proszek do inhalacji, 50 µg/dawkę inhalacyjną,60 daw.,5909990484522
1506,1507,Fluticasoni propionas,Flixotide Dysk, proszek do inhalacji, 500 µg/dawkę inhalacyjną,60 daw.,5909990484829
1507,1508,Fluticasoni propionas,Flurhinal, aerozol inhalacyjny# zawiesina, 125 µg/dawkę inh.,120 daw.,5909991401771
1508,1509,Fluticasoni propionas,Flurhinal, aerozol inhalacyjny# zawiesina, 250 µg/dawkę inh.,120 daw.,5909991401788
1509,1510,Fluticasoni propionas,Flutixon, proszek do inhalacji w kaps. twardej, 125 µg/dawkę inhalacyjną,60 szt.,5909990785858
1510,1511,Fluticasoni propionas,Flutixon, proszek do inhalacji w kaps. twardej, 250 µg/dawkę inhalacyjną,60 szt.,5909990785889
1511,1512,Fluticasoni propionas + Salmeterolum,AirFluSal Forspiro, proszek do inhalacji# podzielony, 250+50 (µg + µg)/dawkę inhalacyjną,1 inhalator 60 dawek,5909991447915
1512,1513,Fluticasoni propionas + Salmeterolum,AirFluSal Forspiro, proszek do inhalacji# podzielony, 250+50 (µg + µg)/dawkę inhalacyjną,1 inhalator 60 dawek,5909991442064
1513,1514,Fluticasoni propionas + Salmeterolum,AirFluSal Forspiro, proszek do inhalacji, 250+50 µg,1 inh.po 60 daw.,5909991274931
1514,1515,Fluticasoni propionas + Salmeterolum,AirFluSal Forspiro, proszek do inhalacji, 500+50 µg,1 inh.po 60 daw.,5909991274955
1515,1516,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 100+50 (µg + µg)/dawkę inhalacyjną,1 inhalator 60 dawek,5909991034870
1516,1517,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 100+50 (µg + µg)/dawkę inhalacyjną,3 inh.po 60 dawek,5909991448523
1517,1518,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 250+50 (µg + µg)/dawkę inhalacyjną,1 inhalator 60 dawek,5909991034887
1518,1519,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 250+50 (µg + µg)/dawkę inhalacyjną,3 inh.po 60 dawek,5909991448530
1519,1520,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 500+50 (µg + µg)/dawkę inhalacyjną,1 inhalator 60 dawek,5909991034894
1520,1521,Fluticasoni propionas + Salmeterolum,Asaris, proszek do inhalacji, 500+50 (µg + µg)/dawkę inhalacyjną,3 inh.po 60 dawek,5909991448547
1521,1522,Fluticasoni propionas + Salmeterolum,Comboterol, aerozol inhalacyjny# zawiesina, 125+25 µg/dawkę inhalacyjną,1 poj. 120 dawek,5906720534670
1522,1523,Fluticasoni propionas + Salmeterolum,Comboterol, aerozol inhalacyjny# zawiesina, 250+25 µg/dawkę inhalacyjną,1 poj. 120 dawek,5906720534687
1523,1524,Fluticasoni propionas + Salmeterolum,Duexon, aerozol inhalacyjny# zawiesina, 125+25 µg/dawkę inhalacyjną,1 poj. 120 dawek,5900411004763
1524,1525,Fluticasoni propionas + Salmeterolum,Duexon, aerozol wziewny# zawiesina, 250+25 µg/dawkę odmierzoną,1 poj. 120 dawek,5900411004770
1525,1526,Fluticasoni propionas + Salmeterolum,Duexon, aerozol inhalacyjny# zawiesina, 50+25 µg/dawkę odmierzoną,1 poj. 120 dawek,5900411004787
1526,1527,Fluticasoni propionas + Salmeterolum,Duexon Pro, proszek do inhalacji# podzielony, 100+50 µg/dawkę,1 inhalator 60 dawek,5900411004732
1527,1528,Fluticasoni propionas + Salmeterolum,Duexon Pro, proszek do inhalacji# podzielony, 250+50 µg/dawkę,1 inhalator 60 dawek,5900411004749
1528,1529,Fluticasoni propionas + Salmeterolum,Duexon Pro, proszek do inhalacji# podzielony, 500+50 µg/dawkę,1 inhalator 60 dawek,5900411004756
1529,1530,Fluticasoni propionas + Salmeterolum,Fluticomb, aerozol inhalacyjny# zawiesina, 125+25 µg/dawkę inhalacyjną,1 inhalator 120 dawek,5909991403959
1530,1531,Fluticasoni propionas + Salmeterolum,Fluticomb, aerozol wziewny# zawiesina, 250+25 µg/dawkę odmierzoną,1 inhalator 120 dawek,5909991403966
1531,1532,Fluticasoni propionas + Salmeterolum,Fluticomb, aerozol wziewny# zawiesina, 50+25 µg/dawkę odmierzoną,1 inhalator 120 dawek,5909991403898
1532,1533,Fluticasoni propionas + Salmeterolum,Salflumix Easyhaler, proszek do inhalacji, 250+50 µg/dawkę odmierzoną,1 inh.po 60 daw.,5909991383626
1533,1534,Fluticasoni propionas + Salmeterolum,Salflumix Easyhaler, proszek do inhalacji, 500+50 µg/dawkę odmierzoną,1 inh.po 60 daw.,5909991383657
1534,1535,Fluticasoni propionas + Salmeterolum,Salmex, proszek do inhalacji, 100+50 (µg + µg)/dawkę inhalacyjną,1 inhalator (60 dawek),5909991034900
1535,1536,Fluticasoni propionas + Salmeterolum,Salmex, proszek do inhalacji, 250+50 (µg + µg)/dawkę inhalacyjną,1 inhalator (60 dawek),5909991034924
1536,1537,Fluticasoni propionas + Salmeterolum,Salmex, proszek do inhalacji, 500+50 (µg + µg)/dawkę inhalacyjną,1 inhalator (60 dawek),5909991034931
1537,1538,Fluticasoni propionas + Salmeterolum,Seretide 125, aerozol wziewny# zawiesina, 125+25 µg/dawkę inhalacyjną,1 poj.po 120 daw.,5909990907014
1538,1539,Fluticasoni propionas + Salmeterolum,Seretide 250, aerozol wziewny# zawiesina, 250+25 µg/dawkę inhalacyjną,1 poj.po 120 daw.,5909990907113
1539,1540,Fluticasoni propionas + Salmeterolum,Seretide 50, aerozol wziewny# zawiesina, 50+25 µg/dawkę inhalacyjną,1 poj.po 120 daw.,5909990906918
1540,1541,Fluticasoni propionas + Salmeterolum,Seretide Dysk 100, proszek do inhalacji, 100+50 µg/dawkę inhalacyjną,1 poj.po 60 daw.,5909990832422
1541,1542,Fluticasoni propionas + Salmeterolum,Seretide Dysk 250, proszek do inhalacji, 250+50 µg/dawkę inhalacyjną,1 poj.po 60 daw.,5909990832521
1542,1543,Fluticasoni propionas + Salmeterolum,Seretide Dysk 500, proszek do inhalacji, 500+50 µg/dawkę inhalacyjną,1 poj.po 60 daw.,5909990832620
1543,1544,Fluticasoni propionas + Salmeterolum,Symflusal, proszek do inhalacji, 250+50 µg/dawkę inhalacyjną,1 blister 60 dawek  + inhalator Elpenhaler,5909991078980
1544,1545,Fluticasoni propionas + Salmeterolum,Symflusal, proszek do inhalacji, 500+50 µg/dawkę inhalacyjną,1 blister 60 dawek  + inhalator Elpenhaler,5909991079055
1545,1546,Fluticasonum,Flutixon, proszek do inhalacji w kaps. twardej, 125 µg,120 kaps.,5909990938001
1546,1547,Fluticasonum,Flutixon, proszek do inhalacji w kaps. twardej, 250 µg,120 kaps.,5909990938025
1547,1548,Fluvoxamini maleas,Fevarin, tabl. powl., 100 mg,30 szt.,5909991431211
1548,1549,Fluvoxamini maleas,Fevarin, tabl. powl., 50 mg,60 szt.,5909991431167
1549,1550,Fluvoxaminum,Fevarin, tabl. powl., 100 mg,30 szt.,5909990347827
1550,1551,Fluvoxaminum,Fevarin, tabl. powl., 50 mg,60 szt.,5909990347728
1551,1552,Folitropinum delta,Rekovelle, roztwór do wstrzykiwań, 12 µg/0#36 ml,"1 wstrzykiwacz 0,36 ml + 3 igły",5909991343019
1552,1553,Folitropinum delta,Rekovelle, roztwór do wstrzykiwań, 72 µg/2#16 ml,"1 wstrzykiwacz 2,16 ml + 9 igieł / 1 wstrzykiwacz 2,16 ml + 15 igieł",5909991343033
1553,1554,Follitropinum alfa,Bemfola, roztwór do wstrzykiwań, 150 j.m./0#25 ml,"1 wstrzykiwacz po 0,25 ml",5997001308486
1554,1555,Follitropinum alfa,Bemfola, roztwór do wstrzykiwań, 225 j.m./0#375 ml,"1 wstrzykiwacz po 0,375 ml",5997001308493
1555,1556,Follitropinum alfa,Bemfola, roztwór do wstrzykiwań, 300 j.m./0#5 ml,"1 wstrzykiwacz po 0,5 ml",5997001308509
1556,1557,Follitropinum alfa,Gonal-f, roztwór do wstrzykiwań we wkładzie do wstrzykiwacza półautomatycznego , 300 j.m. (IU)/0#5 ml (22 µg/0#5 ml),1 wstrzykiwacz,5909990007257
1557,1558,Follitropinum alfa,Gonal-f, roztwór do wstrzykiwań w ampułko-strzykawce, 75 j.m. (IU) (5#5 µg),1 fiol. + 1 amp.-strz. z rozp.,5909990697304
1558,1559,Follitropinum alfa,Gonal-f, roztwór do wstrzykiwań we wkładzie do wstrzykiwacza półautomatycznego, 900 j.m. (IU)/1#5 ml (66 µg/1#5 ml),1 wstrzykiwacz,5909990007240
1559,1560,Follitropinum alfa,Ovaleap, roztwór do wstrzykiwań, 300 j.m./0#5 ml,"1 wkład 0,5ml + 10 igieł iniekcyjnych",5909991088125
1560,1561,Follitropinum alfa,Ovaleap, roztwór do wstrzykiwań, 900 j.m./1#5 ml,"1 wkład 1,5ml + 20 igieł iniekcyjnych",5909991088149
1561,1562,Follitropinum beta,Puregon, roztwór do wstrzykiwań, 300 j.m.,1 wkł.,5909990339754
1562,1563,Follitropinum beta,Puregon, roztwór do wstrzykiwań, 600 j.m.,1 wkł.,5909990339761
1563,1564,Formoteroli fumaras,Foradil, proszek do inhalacji w kaps. twardych, 12 µg,60 szt.,5909990792924
1564,1565,Formoteroli fumaras,Foradil, proszek do inhalacji w kaps. twardych, 12 μg,180 szt.,7613421020934
1565,1566,Formoteroli fumaras,Zafiron, proszek do inhalacji w kaps. twardych, 12 µg,120 kaps.,5909990937981
1566,1567,Formoteroli fumaras,Zafiron, proszek do inhalacji w kaps. twardych, 12 µg,60 szt.,5909990975914
1567,1568,Formoteroli fumaras dihydricus,Atimos, aerozol inhalacyjny# roztwór, 12 µg/dawkę odmierzoną,1 poj.po 120 daw.,5909990620777
1568,1569,Formoteroli fumaras dihydricus,Forastmin, proszek do inhalacji w kaps. twardej, 12 µg,60 szt.,5909990614400
1569,1570,Formoteroli fumaras dihydricus,Forastmin, proszek do inhalacji w kapsułce twardej, 12 μg,120 szt.,5909991218287
1570,1571,Formoteroli fumaras dihydricus,Forastmin, proszek do inhalacji w kapsułce twardej, 12 μg,180 szt.,5909991218294
1571,1572,Formoteroli fumaras dihydricus,Formoterol Easyhaler, proszek do inhalacji, 12 mcg,1 poj. (120 daw.) (+ op.ochr.),5909990337446
1572,1573,Formoteroli fumaras dihydricus,Oxis Turbuhaler, proszek do inhalacji, 4.5 µg/dawkę,1 inh.po 60 daw.,5909990445219
1573,1574,Formoteroli fumaras dihydricus,Oxis Turbuhaler, proszek do inhalacji, 9 µg/dawkę,1 inh.po 60 daw.,5909990445318
1574,1575,Formoteroli fumaras dihydricus,Oxodil PPH, proszek do inhalacji w kaps. twardych, 12 µg,120 szt.,5909990996681
1575,1576,Formoteroli fumaras dihydricus,Oxodil PPH, proszek do inhalacji w kaps. twardych, 12 µg,60 kaps.,5909990849000
1576,1577,Furazidinum,Furaginum Adamed, tabl., 50 mg,30 szt.,5909990357215
1577,1578,Furazidinum,Furaginum Teva, tabl., 100 mg,30 szt.,5909991373238
1578,1579,Furazidinum,Furaginum Teva, tabl., 50 mg,30 szt.,5909990988235
1579,1580,Furazidinum,Furazek, tabl., 100 mg,30 szt.,5909991304102
1580,1581,Furosemidum,Furosemidum Polfarmex, tabl., 40 mg,30 szt. (3 x 10),5909990223794
1581,1582,Furosemidum,Furosemidum Polpharma, tabl., 40 mg,30 szt.,5909990135028
1582,1583,Gabapentinum,Gabapentin Aurovitas, kaps. twarde, 100 mg,100 szt.,5909991331108
1583,1584,Gabapentinum,Gabapentin Aurovitas, kaps. twarde, 300 mg,100 szt.,5909991331153
1584,1585,Gabapentinum,Gabapentin Aurovitas, kaps. twarde, 400 mg,100 szt.,5909991331207
1585,1586,Gabapentinum,Gabapentin Teva, kaps. twarde, 100 mg,100 szt.,5909990339495
1586,1587,Gabapentinum,Gabapentin Teva, kaps. twarde, 300 mg,100 szt.,5909991425340
1587,1588,Gabapentinum,Gabapentin Teva, kaps. twarde, 300 mg,100 szt.,5909990339709
1588,1589,Gabapentinum,Gabapentin Teva, kaps. twarde, 400 mg,100 szt.,5909990339600
1589,1590,Gabapentinum,Gabapentin Teva, tabl. powl., 600 mg,100 szt.,5909990338542
1590,1591,Gabapentinum,Gabapentin Teva, tabl. powl., 800 mg,100 szt.,5909990338658
1591,1592,Gabapentinum,Neurontin 100, kaps. twarde, 100 mg,100 szt.,5909990769216
1592,1593,Gabapentinum,Neurontin 300, kaps. twarde, 300 mg,100 szt.,5909990769315
1593,1594,Gabapentinum,Neurontin 400, kaps. twarde, 400 mg,100 szt.,5909990769414
1594,1595,Gabapentinum,Neurontin 600, tabl. powl., 600 mg,100 szt.,5909991017422
1595,1596,Gabapentinum,Neurontin 800, tabl. powl., 800 mg,100 szt.,5909991017521
1596,1597,Ganirelixum,Orgalutran, roztwór do wstrzykiwań, 0.25 mg,1 amp.-strz.,5909990880911
1597,1598,Gentamicinum,Gentamicin WZF 0#3%, krople do oczu# roztwór, 3 mg/ml,1 but.po 5 ml,5909990092413
1598,1599,Gliclazidum,Clazicon, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,5909991267155
1599,1600,Gliclazidum,Clazicon, tabl. o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,5909991267162
1600,1601,Gliclazidum,Diabrezide, tabl., 80 mg,40 szt.,5909990359912
1601,1602,Gliclazidum,Diagen, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,5909991216023
1602,1603,Gliclazidum,Diaprel MR, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,5909990443017
1603,1604,Gliclazidum,Diazidan, tabl., 80 mg,60 szt.,5909990911127
1604,1605,Gliclazidum,Gliclada, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,5909990647224
1605,1606,Gliclazidum,Gliclada, tabl. o zmodyfikowanym uwalnianiu, 30 mg,90 szt.,5909990647231
1606,1607,Gliclazidum,Gliclada, tabl. o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,5909991056100
1607,1608,Gliclazidum,Gliclada, tabl. o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,5909991056131
1608,1609,Gliclazidum,Gliclada, tabletki o przedłużonym uwalnianiu, 90 mg,30 szt.,5909991267230
1609,1610,Gliclazidum,Gliclastad, tabl. o przedłużonym uwalnianiu, 30 mg,60 tabl.,5909991004002
1610,1611,Gliclazidum,Gliclastad, tabl. o przedłużonym uwalnianiu, 30 mg,90 tabl.,5909991004026
1611,1612,Gliclazidum,Glikuron, tabletki o przedłużonym uwalnianiu, 60 mg,30 szt.,5909991256548
1612,1613,Gliclazidum,Glikuron, tabletki o przedłużonym uwalnianiu, 60 mg,60 szt.,5909991263171
1613,1614,Gliclazidum,Oziclide MR, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 tabl.,5909991226299
