,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
599,600,Budesonidum,BDS N, zawiesina do nebulizacji, 0.5 mg/ml,20 amp.po 2 ml,5909991306151,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,84","80,21","80,09",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"24,15"
600,601,Budesonidum,Benodil, zawiesina do nebulizacji, 0.125 mg/ml,20 amp.po 2 ml,5909991283629,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","55,11","65,10","64,86",<1>Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,44"
601,602,Budesonidum,Benodil, zawiesina do nebulizacji, 0.125 mg/ml,20 amp.po 2 ml,5909991283629,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","55,11","65,10","64,86",<2>We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,44"
602,603,Budesonidum,Benodil, zawiesina do nebulizacji, 0.25 mg/ml,20 amp.po 2 ml,5909991283650,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","48,20","57,28","57,28",<1>Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
603,604,Budesonidum,Benodil, zawiesina do nebulizacji, 0.25 mg/ml,20 amp.po 2 ml,5909991283650,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","48,20","57,28","57,28",<2>We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
604,605,Budesonidum,Benodil, zawiesina do nebulizacji, 0.5 mg/ml,20 amp.po 2 ml,5909991283698,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,94","80,31","80,09",<1>Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,42"
605,606,Budesonidum,Benodil, zawiesina do nebulizacji, 0.5 mg/ml,20 amp.po 2 ml,5909991283698,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,94","80,31","80,09",<2>We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"24,25"
606,607,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.)",5909991033248,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","56,13","66,02","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"11,25"
607,608,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.)",5909991033248,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","56,13","66,02","60,10",x,30%,"23,95"
608,609,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.) + inhal. Novolizer",5909991033224,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","62,94","72,83","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"18,06"
609,610,Budesonidum,Budelin Novolizer 200, proszek do inhalacji, 200 µg/dawkę inhalacyjną,"1 poj.po 2,18 g proszku (200 daw.) + inhal. Novolizer",5909991033224,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","62,94","72,83","60,10",x,30%,"30,76"
610,611,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 100 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337354,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","44,23","50,77","30,05",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"23,92"
611,612,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 100 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337354,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","44,23","50,77","30,05",x,30%,"29,74"
612,613,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 200 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337323,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","66,91","76,80","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"22,03"
613,614,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 200 µg/dawkę,1 inh.po 200 daw. + opak. ochronne (zestaw startowy),5909990337323,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","66,91","76,80","60,10",x,30%,"34,73"
614,615,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 400 µg/dawkę,1 inh.po 100 daw. + opak. ochronne (zestaw startowy),5909990337286,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,55"
615,616,Budesonidum,Budesonide Easyhaler, proszek do inhalacji, 400 µg/dawkę,1 inh.po 100 daw. + opak. ochronne (zestaw startowy),5909990337286,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",x,30%,"22,25"
616,617,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,120 kaps.,5909991223793,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","32,66","40,01","36,06",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"7,15"
617,618,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,120 kaps.,5909991223793,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","32,66","40,01","36,06",x,30%,"14,77"
618,619,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,60 kaps.,5909991204082,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","16,33","21,06","18,03","Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,"6,23"
619,620,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 200 μg/dawkę inhalacyjną,60 kaps.,5909991204082,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","16,33","21,06","18,03",x,30%,"8,44"
620,621,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,120 kaps.,5909991223809,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","65,32","76,28","72,12",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"10,56"
621,622,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,120 kaps.,5909991223809,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","65,32","76,28","72,12",x,30%,"25,80"
622,623,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,60 kaps.,5909991203986,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","32,66","40,01","36,06","Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,"7,15"
623,624,Budesonidum,Budezonid LEK-AM, proszek do inhalacji w kaps. twardych, 400 μg/dawkę inhalacyjną,60 kaps.,5909991203986,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","32,66","40,01","36,06",x,30%,"14,77"
624,625,Budesonidum,Budiair," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh.,5909990335169,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,55"
625,626,Budesonidum,Budiair," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh.,5909990335169,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",x,30%,"22,25"
626,627,Budesonidum,Budiair," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh. z komorą inhalacyjną Jet,5909990335176,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,55"
627,628,Budesonidum,Budiair," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh. z komorą inhalacyjną Jet,5909990335176,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",x,30%,"22,25"
628,629,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.125 mg/ml,20 poj. 2 ml,5906414002515,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","54,43","64,42","64,42",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
629,630,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.125 mg/ml,20 poj. 2 ml,5906414002515,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","54,43","64,42","64,42",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
630,631,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.25 mg/ml,20 poj. 2 ml,5906414002522,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","47,63","56,71","56,71",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
631,632,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.25 mg/ml,20 poj. 2 ml,5906414002522,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","47,63","56,71","56,71",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
632,633,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.5 mg/ml,20 poj. 2 ml,5906414002539,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","69,17","80,54","80,09",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,65"
633,634,Budesonidum,Budixon Neb, zawiesina do nebulizacji, 0.5 mg/ml,20 poj. 2 ml,5906414002539,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","69,17","80,54","80,09",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"24,48"
634,635,Budesonidum,CortimentMMX, tabl. o przedł. uwalnianiu, 9 mg,30 szt.,5909991205966,"11.1, Kortykosteroidy do stosowania doustnego o działaniu miejscowym na przewód pokarmowy - budesonid - we wrzodziejącym zapaleniu jelita grubego","382,68","404,75","404,75","Indukcja remisji u dorosłych pacjentów z łagodną do umiarkowanej, aktywną postacią wrzodziejącego zapalenia jelita grubego, gdzie leczenie preparatami 5-ASA jest niewystarczające",ryczałt,"3,20"
635,636,Budesonidum,Entocort," kaps. o przedłużonym uwalnianiu, twarde", 3 mg,100 szt.,5909990430314,"11.0, Kortykosteroidy do stosowania doustnego o działaniu miejscowym na przewód pokarmowy - budesonid","349,04","370,28","370,28",Choroba Leśniowskiego-Crohna,ryczałt,"3,56"
636,637,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 200 µg,60 szt. (6 blist.po 10 szt.),5909990926213,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","19,79","24,52","18,03",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,69"
637,638,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 200 µg,60 szt. (6 blist.po 10 szt.),5909990926213,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","19,79","24,52","18,03",x,30%,"11,90"
638,639,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 400 µg,60 szt. (6 blist.po 10 szt.),5909990926312,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","33,90","41,25","36,06",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"8,39"
639,640,Budesonidum,Miflonide Breezhaler, proszek do inhalacji w kaps. twardych, 400 µg,60 szt. (6 blist.po 10 szt.),5909990926312,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","33,90","41,25","36,06",x,30%,"16,01"
640,641,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/2 ml,20 szt.,5909991107925,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","54,88","64,86","64,86",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
641,642,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/2 ml,20 szt.,5909991107925,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","54,88","64,86","64,86",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
642,643,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/ml,20 amp. po 2 ml,5909991005696,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","47,63","56,71","56,71","Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,"3,20"
643,644,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.25 mg/ml,20 amp. po 2 ml,5909991005696,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","47,63","56,71","56,71",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
644,645,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.5 mg/ml,20 amp. po 2 ml,5909991005733,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,72","80,09","80,09","Astma, przewlekła obturacyjna choroba płuc, eozynofilowe zapalenie oskrzeli",ryczałt,"3,20"
645,646,Budesonidum,Nebbud, zawiesina do nebulizacji, 0.5 mg/ml,20 amp. po 2 ml,5909991005733,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,72","80,09","80,09",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"24,03"
646,647,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.125 mg/ml,20 poj.po 2 ml,5909990445615,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","66,86","76,85","64,86",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"15,19"
647,648,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.125 mg/ml,20 poj.po 2 ml,5909990445615,"200.2, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w niskich dawkach","66,86","76,85","64,86",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"15,19"
648,649,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.25 mg/ml,20 poj.po 2 ml,5909990445714,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","59,38","68,46","57,66",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"14,00"
649,650,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.25 mg/ml,20 poj.po 2 ml,5909990445714,"200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach","59,38","68,46","57,66",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"14,00"
650,651,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991233099,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,04","79,41","79,41",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
651,652,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991233099,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,04","79,41","79,41",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"23,82"
652,653,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991269784,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,04","79,41","79,41",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"3,20"
653,654,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909991269784,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","68,04","79,41","79,41",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"23,82"
654,655,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909990445813,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","80,69","92,06","80,09",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"15,17"
655,656,Budesonidum,Pulmicort, zawiesina do nebulizacji, 0.5 mg/ml,20 poj.po 2 ml,5909990445813,"200.4, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w wysokich dawkach","80,69","92,06","80,09",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"36,00"
656,657,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 100 µg/dawkę inhalacyjną,1 poj.po 200 daw.,5909990677313,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","37,40","43,94","30,05",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"17,09"
657,658,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 100 µg/dawkę inhalacyjną,1 poj.po 200 daw.,5909990677313,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","37,40","43,94","30,05",x,30%,"22,91"
658,659,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 200 µg/dawkę inhalacyjną,1 poj.po 100 daw.,5909990677412,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","33,45","39,99","30,05",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"13,14"
659,660,Budesonidum,Pulmicort Turbuhaler, proszek do inhalacji, 200 µg/dawkę inhalacyjną,1 poj.po 100 daw.,5909990677412,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","33,45","39,99","30,05",x,30%,"18,96"
660,661,Budesonidum,Ribuspir," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh.,5909990335183,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,55"
661,662,Budesonidum,Ribuspir," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh.,5909990335183,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",x,30%,"22,25"
662,663,Budesonidum,Ribuspir," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh. z komorą inhalacyjną Jet,5909990335190,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"9,55"
663,664,Budesonidum,Ribuspir," aerozol inhalacyjny, roztwór", 200 µg/dawkę odmierzoną,1 poj.po 200 daw. odmierzonych + inh. z komorą inhalacyjną Jet,5909990335190,"200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole","54,43","64,32","60,10",x,30%,"22,25"
664,665,Budesonidum + Formoteroli fumaras dihydricus,Airbufo Forspiro, proszek do inhalacji," 160+4,5 µg/dawkę inhalacyjną",1 inh. po 60 dawek,7613421020866,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","49,90","58,89","52,09",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"10,00"
665,666,Budesonidum + Formoteroli fumaras dihydricus,Airbufo Forspiro," proszek do inhalacji, podzielony"," 160+4,5 µg/dawkę inhalacyjną",2 inh. po 60 dawek,5907626709476,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","95,26","108,25","104,18",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"7,27"
666,667,Budesonidum + Formoteroli fumaras dihydricus,Symbicort," aerozol inhalacyjny, zawiesina"," 160+4,5 µg/dawkę inhalacyjną",1 inh. po 120 daw.,5000456011648,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","113,85","126,84","104,18",Przewlekła obturacyjna choroba płuc,30%,"53,91"
667,668,Budesonidum + Formoteroli fumaras dihydricus,Symbicort Turbuhaler, proszek do inhalacji," 160+4,5 µg/dawkę inhalacyjną",1 inh. po 120 daw.,5909990873074,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","113,85","126,84","104,18",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"25,86"
668,669,Budesonidum + Formoterolum,Bufomix Easyhaler, proszek do inhalacji," 160+4,5 µg/dawkę inhalacyjną",1 inh. po 120 daw. z opakowaniem ochronnym,5909991137458,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","113,90","126,89","104,18",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"25,91"
669,670,Budesonidum + Formoterolum,Bufomix Easyhaler, proszek do inhalacji," 160+4,5 µg/dawkę inhalacyjną",1 inh. po 60 daw. z opakowaniem ochronnym,5909991137465,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","56,95","65,94","52,09",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"17,05"
670,671,Budesonidum + Formoterolum,Bufomix Easyhaler, proszek do inhalacji, 320+9 µg/dawkę inhalacyjną,1 inh.po 60 daw. z opakowaniem ochronnym,5909991137625,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach","98,79","111,80","103,16",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"11,84"
671,672,Budesonidum + Formoterolum,DuoResp Spiromax, proszek do inhalacji," 160+4,5 µg",1 inhalator (120 dawek),5909991136932,"199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach","113,90","126,89","104,18",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"25,91"
672,673,Budesonidum + Formoterolum,DuoResp Spiromax, proszek do inhalacji, 320+9 µg,1 inhalator (60 dawek),5909991136963,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach","98,79","111,80","103,16",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"11,84"
673,674,Budesonidum + Formoterolum,Symbicort Turbuhaler, proszek do inhalacji, 320+9 µg/dawkę inhalacyjną,1 inh.po 60 daw.,5909990873241,"199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach","114,20","127,21","103,16",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"27,25"
674,675,Budesonidum + Formoterolum,Symbicort Turbuhaler, proszek do inhalacji," 80+4,5 µg/dawkę inhalacyjną",1 inh.po 60 daw.,5909990872886,"199.1, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w niskich dawkach","66,01","75,01","52,86",Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli,ryczałt,"25,35"
675,676,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.2 mg,60 szt. - blister,5909991235635,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego","28,69","35,48","35,48",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"10,64"
676,677,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.2 mg,60 szt. - blister,5909991235635,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego","28,69","35,48","35,48",Nowotwory złośliwe,bezpłatny do limitu,"0,00"
677,678,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.4 mg,30 szt. - blister,5909991235642,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego","28,69","35,48","35,48",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"10,64"
678,679,Buprenorphinum,Bunondol, tabl. podjęzykowe, 0.4 mg,30 szt. - blister,5909991235642,"152.3, Opioidowe leki przeciwbólowe - postacie do stosowania podjęzykowego","28,69","35,48","35,48",Nowotwory złośliwe,bezpłatny do limitu,"0,00"
